x_RIS_m,y_RIS_m,z_RIS_m,H_RIS,H_total,Pr_W,SNR_linear,SNR_dB,data_rate_bps,data_rate_Mbps
0.9,0.0,2.033333333333333,5.056253145284705e-08,5.056253145284705e-08,5.056253145284705e-08,0.07181403969658692,-11.437906425725043,2001092.3830797712,2.0010923830797713
0.9,0.0,2.11,4.7401234167596854e-08,4.7401234167596854e-08,4.7401234167596854e-08,0.06311477494717288,-11.99868962040999,1765947.201884724,1.765947201884724
0.9,0.0,2.1866666666666665,4.3778033679160054e-08,4.3778033679160054e-08,4.3778033679160054e-08,0.053834940979736054,-12.68935758736072,1512978.393054784,1.512978393054784
0.9,0.0,2.263333333333333,3.979734761242255e-08,3.979734761242255e-08,3.979734761242255e-08,0.04448975315448043,-13.51740003870846,1255966.7816431804,1.2559667816431803
0.9,0.0,2.34,3.55598917615657e-08,3.55598917615657e-08,3.55598917615657e-08,0.035519970789828,-14.495274000393186,1007107.5459462319,1.007107545946232
0.9,0.0,2.4166666666666665,3.1160537221208635e-08,3.1160537221208635e-08,3.1160537221208635e-08,0.0272748023547935,-15.64238387816928,776443.2623829701,0.7764432623829701
0.9,0.0,2.493333333333333,2.668673029485918e-08,2.668673029485918e-08,2.668673029485918e-08,0.020005180408900283,-16.988575277522877,571529.5876854446,0.5715295876854446
0.9,0.0,2.57,2.2217405420669334e-08,2.2217405420669334e-08,2.2217405420669334e-08,0.013865592080865215,-18.58061580686736,397328.14561991784,0.39732814561991786
0.9,0.0,2.6466666666666665,1.7822317302220334e-08,1.7822317302220334e-08,1.7822317302220334e-08,0.008922366982050517,-20.495199179469246,256303.36839132223,0.25630336839132223
0.9,0.0,2.723333333333333,1.356172127489689e-08,1.356172127489689e-08,1.356172127489689e-08,0.005166320775818166,-22.868186320684764,148684.7605335719,0.1486847605335719
0.9,0.0,2.8,9.48633770774895e-09,9.48633770774895e-09,9.48633770774895e-09,0.0025278360412323603,-25.97251098386989,72845.89791544304,0.07284589791544305
1.0333333333333332,0.0,0.5,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.0333333333333332,0.0,0.5766666666666667,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.0333333333333332,0.0,0.6533333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.0333333333333332,0.0,0.73,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.0333333333333332,0.0,0.8066666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.0333333333333332,0.0,0.8833333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.0333333333333332,0.0,0.96,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.0333333333333332,0.0,1.0366666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.0333333333333332,0.0,1.1133333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.0333333333333332,0.0,1.19,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.0333333333333332,0.0,1.2666666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.0333333333333332,0.0,1.3433333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.0333333333333332,0.0,1.42,0.0,0.0,0.0,0.0,-inf,0.0,0.0
1.0333333333333332,0.0,1.4966666666666666,6.933262589878087e-08,6.933262589878087e-08,6.933262589878087e-08,0.13502899556383022,-8.695729629032776,3654583.064364721,3.6545830643647212
1.0333333333333332,0.0,1.5733333333333333,7.24717612038719e-08,7.24717612038719e-08,7.24717612038719e-08,0.14753306687122816,-8.311106295147297,3970714.527662741,3.970714527662741
1.0333333333333332,0.0,1.65,7.424260774880581e-08,7.424260774880581e-08,7.424260774880581e-08,0.154831091382086,-8.101418249202798,4153637.0943771075,4.153637094377108
1.0333333333333332,0.0,1.7266666666666666,7.469658672873387e-08,7.469658672873387e-08,7.469658672873387e-08,0.1567304041360544,-8.048467465583617,4201053.175899499,4.201053175899499
1.0333333333333332,0.0,1.8033333333333332,7.39202913674899e-08,7.39202913674899e-08,7.39202913674899e-08,0.15348964417675579,-8.13920920698897,4120101.0364317093,4.120101036431709
1.0333333333333332,0.0,1.88,7.20272487685778e-08,7.20272487685778e-08,7.20272487685778e-08,0.14572880103564195,-8.36454608183668,3925311.8469316047,3.9253118469316046
1.0333333333333332,0.0,1.9566666666666666,6.914978045897416e-08,6.914978045897416e-08,6.914978045897416e-08,0.1343177321430583,-8.718666495536757,3636496.163302223,3.636496163302223
1.0333333333333332,0.0,2.033333333333333,6.543148052739295e-08,6.543148052739295e-08,6.543148052739295e-08,0.12026111711014549,-9.19874766293625,3276700.868038131,3.276700868038131
1.0333333333333332,0.0,2.11,6.102063878228724e-08,6.102063878228724e-08,6.102063878228724e-08,0.10459363065932042,-9.804947614891386,2870314.272690005,2.8703142726900053
1.0333333333333332,0.0,2.1866666666666665,5.6064768229047005e-08,5.6064768229047005e-08,5.6064768229047005e-08,0.08829412386544115,-10.540681985484921,2441370.2806026833,2.4413702806026834
